"id","description"
"100000356","SLR: GPL WEB_SPECIFIC_APPS BASE base_qry_common.php remote file include"
"100000357","SLR: GPL WEB_SPECIFIC_APPS BASE base_stat_common.php remote file include"
"100000358","SLR: GPL WEB_SPECIFIC_APPS BASE base_include.inc.php remote file include"
"100000728","SLR: GPL WEB_SPECIFIC_APPS Geeklog functions.inc remote file include"
"100000729","SLR: GPL WEB_SPECIFIC_APPS Geeklog functions.inc remote file include"
"100000730","SLR: GPL WEB_SPECIFIC_APPS Geeklog BlackList.Examine.class.php remote file include"
"100000731","SLR: GPL WEB_SPECIFIC_APPS Geeklog DeleteComment.Action.class.php remote file include"
"100000732","SLR: GPL WEB_SPECIFIC_APPS Geeklog EditIPofURL.Admin.class.php remote file include"
"100000733","SLR: GPL WEB_SPECIFIC_APPS Geeklog MTBlackList.Examine.class.php remote file include"
"100000734","SLR: GPL WEB_SPECIFIC_APPS Geeklog MassDelete.Admin.class.php remote file include"
"100000735","SLR: GPL WEB_SPECIFIC_APPS Geeklog MailAdmin.Action.class.php remote file include"
"100000736","SLR: GPL WEB_SPECIFIC_APPS Geeklog MassDelTrackback.Admin.class.php remote file include"
"100000737","SLR: GPL WEB_SPECIFIC_APPS Geeklog EditHeader.Admin.class.php remote file include"
"100000738","SLR: GPL WEB_SPECIFIC_APPS Geeklog EditIP.Admin.class.php remote file include"
"100000739","SLR: GPL WEB_SPECIFIC_APPS Geeklog IPofUrl.Examine.class.php remote file include"
"100000740","SLR: GPL WEB_SPECIFIC_APPS Geeklog Import.Admin.class.php remote file include"
"100000741","SLR: GPL WEB_SPECIFIC_APPS Geeklog LogView.Admin.class.php remote file include"
"100000742","SLR: GPL WEB_SPECIFIC_APPS Geeklog functions.inc remote file include"
"100000908","SLR: GPL WEB_SPECIFIC_APPS WEB-PHP phpMyWebmin create_file script remote file include"
"20012181","SLR: ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt"
"2002731","SLR: ET WEB_SPECIFIC_APPS Generic phpbb arbitrary command attempt"
"2002800","SLR: ET WEB_SPECIFIC_APPS PHP PHPNuke Remote File Inclusion Attempt"
"2002815","SLR: ET WEB_SPECIFIC_APPS Plume CMS prepend.php Remote File Inclusion attempt"
